,target,RMSE,MAE,R2
0,owners,712904.2676010308,74962.07833631028,-0.011064782339163415
1,players,567134.9752209876,53550.798545547324,-0.008866725122767649
2,copiesSold,504262.0935451368,45563.54758867059,-0.00812434977369958
3,revenue,5710499.921137614,454435.6562798133,-0.00636357045016811
