,target,RMSE,MAE,R2
0,owners,630840.663082533,63396.039463280315,0.20830862551287876
1,players,517711.8863187195,46641.95150452035,0.1593074313153482
2,copiesSold,448306.1762209358,38804.663453940455,0.20319710429557103
3,revenue,5330993.982406261,400082.5327573274,0.12295266726675547
Average,-,1731963.1770071124,137231.29679476714,0.17344145709763836
