,target,RMSE,MAE,R2
0,owners,671392.1919126014,67842.12641136459,0.10325466384533599
1,players,586885.2428403599,50454.19101837679,-0.08035706115385732
2,copiesSold,505774.7821788488,42930.656553098954,-0.014181777387386907
3,revenue,7493623.531905893,464266.55168113176,-0.7329673863648729
Average,-,2314418.937209426,156373.38141599303,-0.1810628902651953
