,target,RMSE,MAE,R2
0,owners,678552.1523417385,65386.19284341383,0.08402626862691198
1,players,557333.7107980585,48056.46566020234,0.025702560731067026
2,copiesSold,460789.72279314493,39872.358331409254,0.15820366996106028
3,revenue,8742066.365725297,470230.60179241153,-1.3584943804121261
Average,-,2609685.48791456,155886.40465685923,-0.2726404702732717
