,target,RMSE,MAE,R2
0,owners,644157.6729737681,65410.169094773264,0.1745307061561424
1,players,529830.9408655387,47916.87771584071,0.11948741224022041
2,copiesSold,468568.45171109075,40185.384975119305,0.12954254584870928
3,revenue,5055253.8129788255,393965.2846206934,0.21133498075399415
Average,-,1674452.7196323057,136869.42910160666,0.15872391124976656
