,target,RMSE,MAE,R2
0,owners,728071.7899467604,68686.81988599249,-0.05454462486682288
1,players,650145.0534925957,51417.81636269158,-0.32581052195797455
2,copiesSold,485551.21327681316,42526.45518287064,0.06530149761587678
3,revenue,13197135.774135368,540021.6587526753,-4.3748458982370355
Average,-,3765225.957712884,175663.1875460575,-1.172474886861489
