,target,RMSE,MAE,R2
0,owners,664799.2710843576,66190.00344384387,0.12077986886923409
1,players,553188.5912871808,48643.16491754261,0.04014116712115534
2,copiesSold,471004.31627640536,40727.886975049376,0.12046883327182789
3,revenue,6414906.687989603,432921.6488017996,-0.2699520821052599
Average,-,2025974.7166593866,147120.67603455886,0.002859446789239356
