,target,RMSE,MAE,R2
0,owners,666418.6158281263,66618.14154361824,0.11649137281803879
1,players,535953.4585085853,48250.743876941415,0.09902012237528102
2,copiesSold,466799.06524435204,40265.1683693967,0.13610409587926098
3,revenue,5160184.922833017,400022.2508791267,0.17825479515553866
Average,-,1707339.0156035202,138789.07616727077,0.13246759655702986
